touched_at,year,side,z_gate,gate_pass,cap_5min,cap_30min,cap_1h,cap_4h,entry,sign
2023-11-08 10:42:00-05:00,2023,lower,-3.929465554508942,False,3.800000000000182,5.5,6.899999999999864,,1956.997028567233,1.0
2023-11-08 10:42:00-05:00,2023,lower,-3.929465554508942,False,3.800000000000182,5.5,6.899999999999864,,1956.8668716072734,1.0
2023-11-08 10:40:00-05:00,2023,lower,-3.929465554508942,False,3.800000000000182,5.5,6.899999999999864,,1958.3175612861896,1.0
2023-11-07 02:01:00-05:00,2023,lower,-0.9737331126128345,False,0.5,1.2000000000000455,2.900000000000091,,1977.12167472001,1.0
2023-11-28 08:42:00-05:00,2023,upper,1.6579179275005862,False,1.5,5.7000000000000455,2.0,,2042.188660683303,-1.0
2023-11-07 04:01:00-05:00,2023,lower,-2.272670150559276,False,1.400000000000091,3.0,4.2000000000000455,,1971.861339316697,1.0
2023-11-27 19:00:00-05:00,2023,upper,1.242427096522925,False,0.6000000000001364,1.900000000000091,1.900000000000091,,2033.082956176287,-1.0
2023-11-08 10:42:00-05:00,2023,lower,-3.929465554508942,False,3.800000000000182,5.5,6.899999999999864,,1957.067043823713,1.0
2023-11-27 19:00:00-05:00,2023,upper,1.242427096522925,False,0.6000000000001364,1.900000000000091,1.900000000000091,,2020.8932992688472,-1.0
2023-11-07 07:44:00-05:00,2023,lower,-2.371997773297124,False,2.2999999999999545,3.6000000000001364,4.100000000000136,,1965.006700731153,1.0
2023-11-27 19:00:00-05:00,2023,upper,1.242427096522925,False,0.6000000000001364,1.900000000000091,1.900000000000091,,2030.9590050688228,-1.0
2023-11-07 07:31:00-05:00,2023,lower,-2.5050955039049976,False,1.300000000000182,3.6000000000001364,4.100000000000136,,1966.990994931177,1.0
